objectid,unit_name,countyname,tot_pop_y,tot_white,tot_black,tot_asian,tot_amind,tot_other,tot_hispanic,vap_total,vap_white,vap_black,vap_asian,vap_amind,vap_other,vap_hispanic,reg_total_24_12,reg_white_24_12,reg_black_24_12,reg_other_24_12,reg_dem_total_24_12,reg_dem_white_24_12,reg_dem_black_24_12,reg_dem_other_24_12,reg_rep_total_24_12,reg_rep_white_24_12,reg_rep_black_24_12,reg_rep_other_24_12,reg_oth_total_24_12,reg_oth_white_24_12,reg_oth_black_24_12,reg_oth_other_24_12,congressional,senate,house,public_service_commission,supreme_court
130,1-1,La Salle,336,318,6,0,12,0,6,281,269,1,0,11,0,4,233,231,0,2,54,54,0,0,125,125,0,0,54,52,0,2,Congressional District 5,State Senate District 32,State House District 20,District 4,District 4
2395,24,Livingston,3342,2765,152,57,81,287,334,2468,2112,84,40,62,170,203,2200,1998,85,117,319,245,57,17,1283,1242,4,37,598,511,24,63,Congressional District 5,State Senate District 13,State House District 71,District 2,District 1
2335,15-14G,Orleans,3662,432,2988,22,26,194,311,2716,413,2109,20,23,151,205,1104,142,890,72,731,50,647,34,72,49,18,5,301,43,225,33,Congressional District 2,State Senate District 7,State House District 102,District 3,District 7
2194,9-15,Orleans,739,410,274,10,11,34,41,666,383,240,5,7,31,34,580,347,151,82,390,223,118,49,32,25,3,4,158,99,30,29,Congressional District 2,State Senate District 3,State House District 99,District 3,District 7
39,6,West Feliciana,462,388,44,3,14,13,12,371,304,41,2,11,13,11,427,372,45,10,95,58,37,0,219,215,1,3,113,99,7,7,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
2091,15-13,Orleans,1399,87,1211,5,5,91,120,955,69,815,3,5,63,84,714,47,638,29,533,20,501,12,26,14,9,3,155,13,128,14,Congressional District 2,State Senate District 7,State House District 102,District 3,District 7
2836,2-28,East Baton Rouge,3118,1030,1944,42,45,57,86,2220,794,1321,28,37,40,55,1973,649,1229,95,1122,113,975,34,374,345,14,15,477,191,240,46,Congressional District 6,State Senate District 6,State House District 62,District 3,District 2
2581,2-12B,Bossier,755,324,355,33,2,41,49,629,292,274,28,1,34,43,352,168,152,32,140,28,105,7,89,83,0,6,123,57,47,19,Congressional District 4,State Senate District 39,State House District 2,District 5,District 4
2649,4,Ouachita,2661,1444,1070,80,22,45,58,1926,1090,723,64,17,32,36,1995,1138,768,89,697,112,567,18,841,797,23,21,457,229,178,50,Congressional District 4,State Senate District 33,State House District 14,District 5,District 4
2686,1A,Ouachita,1674,1474,114,22,36,28,21,1170,1038,72,13,24,23,15,911,826,59,26,99,53,45,1,625,616,1,8,187,157,13,17,Congressional District 4,State Senate District 33,State House District 14,District 5,District 4
1105,1-3A,Natchitoches,216,122,71,2,7,14,28,190,117,56,1,4,12,23,112,94,11,7,37,27,7,3,44,42,1,1,31,25,3,3,Congressional District 6,State Senate District 29,State House District 22,District 5,District 3
2689,35,Ouachita,1932,1199,608,10,25,90,114,1525,989,450,6,22,58,78,1135,800,286,49,333,115,209,9,473,453,4,16,329,232,73,24,Congressional District 5,State Senate District 33,State House District 17,District 5,District 4
2671,4-8D,Bossier,965,321,363,7,49,225,247,675,240,243,5,43,144,162,257,110,117,30,99,15,77,7,61,51,5,5,97,44,35,18,Congressional District 4,State Senate District 39,State House District 2,District 5,District 4
6740,15A,Iberville,689,371,269,3,12,34,47,581,334,200,3,12,32,42,309,208,97,4,148,67,80,1,93,92,1,0,68,49,16,3,Congressional District 2,State Senate District 17,State House District 60,District 3,District 2
2004,2-12,Lafourche,1854,1646,97,16,25,70,80,1515,1361,79,11,17,47,57,1302,1226,32,44,262,229,27,6,757,739,1,17,283,258,4,21,Congressional District 3,State Senate District 20,State House District 55,District 2,District 5
2437,13B,Livingston,1369,1081,123,8,22,135,137,1028,831,87,2,19,89,86,763,696,37,30,122,98,22,2,415,404,0,11,226,194,15,17,Congressional District 1,State Senate District 6,State House District 95,District 1,District 1
2290,17-18,Orleans,765,645,33,18,10,59,52,560,485,23,14,8,30,29,633,548,15,70,167,141,12,14,278,261,0,17,188,146,3,39,Congressional District 1,State Senate District 4,State House District 94,District 1,District 6
2301,9-31B,Orleans,557,28,508,2,4,15,15,423,24,384,1,4,10,7,469,18,426,25,371,11,344,16,7,2,5,0,91,5,77,9,Congressional District 2,State Senate District 3,State House District 97,District 3,District 7
3445,17,Tangipahoa,2135,348,1718,23,9,37,59,1566,272,1239,21,8,26,38,1276,231,1007,38,886,53,818,15,155,123,31,1,235,55,158,22,Congressional District 5,State Senate District 12,State House District 72,District 1,District 1
3298,17,Iberville,1074,748,272,5,15,34,36,871,645,182,2,15,27,29,694,573,104,17,267,182,82,3,272,268,1,3,155,123,21,11,Congressional District 2,State Senate District 17,State House District 60,District 3,District 2
3299,18,Iberville,719,461,226,9,4,19,21,563,384,157,7,4,11,15,508,374,127,7,230,120,107,3,166,160,4,2,112,94,16,2,Congressional District 2,State Senate District 17,State House District 60,District 3,District 2
